Size,DataType,Algorithm,TimeMicroseconds
10400,AlmostSorted,QuickSort,1030.200000
10400,AlmostSorted,HybridQuickSort,584.800000
10500,Random,QuickSort,1408.800000
10500,Random,HybridQuickSort,1096.000000
10500,Reversed,QuickSort,1009.000000
10500,Reversed,HybridQuickSort,662.200000
10500,AlmostSorted,QuickSort,1025.600000
10500,AlmostSorted,HybridQuickSort,617.800000
10600,Random,QuickSort,1440.400000
10600,Random,HybridQuickSort,1084.600000
10600,Reversed,QuickSort,1052.600000
10600,Reversed,HybridQuickSort,656.000000
10600,AlmostSorted,QuickSort,1014.000000
10600,AlmostSorted,HybridQuickSort,593.600000
10700,Random,QuickSort,1455.600000
10700,Random,HybridQuickSort,1076.800000
10700,Reversed,QuickSort,1030.200000
10700,Reversed,HybridQuickSort,691.400000
10700,AlmostSorted,QuickSort,1065.000000
10700,AlmostSorted,HybridQuickSort,621.400000
10800,Random,QuickSort,1480.600000
10800,Random,HybridQuickSort,1093.400000
10800,Reversed,QuickSort,1136.400000
10800,Reversed,HybridQuickSort,711.200000
10800,AlmostSorted,QuickSort,1079.000000
10800,AlmostSorted,HybridQuickSort,652.400000
10900,Random,QuickSort,1552.600000
10900,Random,HybridQuickSort,1157.200000
10900,Reversed,QuickSort,1102.400000
10900,Reversed,HybridQuickSort,712.200000
10900,AlmostSorted,QuickSort,1073.800000
10900,AlmostSorted,HybridQuickSort,645.200000
11000,Random,QuickSort,1560.200000
11000,Random,HybridQuickSort,1168.800000
11000,Reversed,QuickSort,1093.800000
11000,Reversed,HybridQuickSort,683.000000
11000,AlmostSorted,QuickSort,1099.600000
11000,AlmostSorted,HybridQuickSort,638.800000
11100,Random,QuickSort,1532.600000
11100,Random,HybridQuickSort,1144.800000
11100,Reversed,QuickSort,1141.800000
11100,Reversed,HybridQuickSort,720.000000
11100,AlmostSorted,QuickSort,1062.000000
11100,AlmostSorted,HybridQuickSort,633.600000
11200,Random,QuickSort,1500.200000
11200,Random,HybridQuickSort,1141.000000
11200,Reversed,QuickSort,1110.000000
11200,Reversed,HybridQuickSort,694.600000
11200,AlmostSorted,QuickSort,1074.000000
11200,AlmostSorted,HybridQuickSort,665.600000
11300,Random,QuickSort,1539.200000
11300,Random,HybridQuickSort,1148.000000
11300,Reversed,QuickSort,1118.200000
11300,Reversed,HybridQuickSort,722.000000
11300,AlmostSorted,QuickSort,1087.400000
11300,AlmostSorted,HybridQuickSort,689.200000
11400,Random,QuickSort,1541.800000
11400,Random,HybridQuickSort,1147.000000
11400,Reversed,QuickSort,1126.800000
11400,Reversed,HybridQuickSort,751.200000
11400,AlmostSorted,QuickSort,1082.000000
11400,AlmostSorted,HybridQuickSort,687.800000
11500,Random,QuickSort,1602.000000
